x,y,z
123.15467451235949,86.86859828493158,a
83.96667107691779,71.91111580062937,a
86.30784221322244,100.10099661367735,a
135.9276154639058,102.54151248267766,a
147.04695363855967,74.31255277417034,a
139.8943971965666,113.18977387571886,a
120.52712843787921,66.52671616202286,a
100.5993842236071,114.3654435490377,a
167.91837174534413,77.42212076419116,a
126.84557004523697,70.97861461801125,a
144.78309409175034,150.54709156709316,a
177.7865043467412,117.77905169264511,a
151.79226250990874,121.96753888669934,a
197.58126202812778,147.0094964475927,a
209.5469308491769,117.22997380754026,a
157.13148813150644,209.41767026552276,a
133.61727671833654,163.13695615999166,a
226.55007634859749,158.24720840765343,a
198.40431629268295,141.02860644844952,a
201.00697947534582,167.23167682427442,a
216.5431486653793,126.37806461420297,a
225.93751501231372,191.7278265512802,a
238.3583582981206,140.55706606033527,a
242.9517379619237,184.03938358087095,a
221.15600950672024,179.99021848116223,a
251.8361136392448,134.37781240245414,a
273.44438668209006,160.35695883293573,a
304.8352141570821,183.45338070695095,a
297.6950211406719,144.029903141705,a
311.5488185054055,169.08171205094163,a
291.5500196422852,179.018543783793,a
286.09117633668285,161.4504691331323,a
314.8189149833731,223.37078177127387,a
291.33789408770764,230.97779060482742,a
278.92855432813747,208.7034183204213,a
291.5615211700142,235.83876631142527,a
341.9913231160239,218.80822001959137,a
324.14171661175186,260.655198635013,a
317.6401841672769,239.62940761757767,a
358.4737587512459,242.10221693814572,a
286.182630660443,280.8510455466851,a
296.5771754705731,243.88761176957405,a
319.4956855565391,256.44214467198117,a
350.23423702654674,248.4245986178013,a
372.15600151800373,288.7187364797143,a
356.0707419204127,297.4316291651959,a
345.56099293565376,293.1352411162949,a
369.1387746328947,304.2921006025766,a
371.6423374640121,258.52169637598774,a
339.69666151703325,319.9613655169313,a
344.5447167371062,270.0956780394263,a
414.6557256890561,265.6159872532314,a
371.9265971893394,310.00416163825673,a
379.89855348020177,304.94484776910946,a
362.3038216137781,285.6792988195257,a
398.78122725977164,317.62264481377565,a
379.8474395213295,299.05517200128133,a
393.1305775109124,281.82097025319206,a
427.8118527220544,327.3993461127801,a
376.3197617326951,348.6353210273939,a
397.09669022170743,299.62637099428525,a
358.94659767350345,319.2439383789315,a
385.8570158468292,302.1994299983494,a
404.3885413082349,319.7394145183357,a
394.66320771359875,373.6547621573675,a
439.99220299305534,356.05060403699,a
358.9498567370779,346.75318786632613,a
397.9970684576506,300.3631220043279,a
414.07368162164306,335.7202895866609,a
389.1825815566724,303.5127893298529,a
424.3167303724674,353.4612995104068,a
441.73111253446024,324.5505399594709,a
423.8259129652899,368.8655040378542,a
455.61576071993727,342.4196441796438,a
431.899096530711,347.7869424187917,a
410.9174331778234,355.1591687887074,a
446.5801878742712,439.9747413105374,a
447.8603286828791,374.17175577333546,a
509.55002536946984,406.36507090129413,a
482.54308089712777,414.58940419408884,a
453.81720052327074,378.27232710708853,a
386.4959914289736,385.84363316260493,a
478.7599370308292,381.1318538073051,a
488.18240484858666,390.77363338851217,a
492.17930435491644,366.58387987962794,a
479.2209691124311,403.3270024910006,a
470.2355695020441,385.76612518621744,a
490.84046453401567,425.5298497155874,a
449.14793526892163,395.7776789008532,a
468.974400269546,407.992540397933,a
501.5332779835269,369.48133597132346,a
528.1664159353134,428.7688045849052,a
487.50007920679616,388.4161283705488,a
491.8820354556691,383.8773645798618,a
508.9257682319673,437.42038642934676,a
540.750723492218,393.6675971035723,a
528.1531526093627,394.14397839650076,a
516.3031403192699,429.20945545156405,a
552.1810211810752,425.81801172593873,a
539.3462976996584,454.0162150834136,a
564.9362445861661,415.4226750906163,a
531.9009316393852,468.08767181954664,a
539.3653608258586,421.20835761666234,a
537.8526399808952,392.81799686340617,a
554.3369866854435,425.89064812819106,a
527.7977858698277,456.9066033285968,a
587.2068956165447,428.45764231705294,a
554.1213448102385,440.47117297803663,a
540.3670183560926,457.32025569835815,a
573.5240850337782,403.50693700810825,a
523.6262573611973,415.5698717735071,a
604.1439154356822,452.29836910297183,a
